,filename,label
0,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00002314.JPEG,golf ball
1,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00003793.JPEG,golf ball
2,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00006468.JPEG,golf ball
3,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007755.JPEG,golf ball
4,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007947.JPEG,golf ball
5,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008599.JPEG,golf ball
6,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011983.JPEG,golf ball
7,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012356.JPEG,golf ball
8,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012634.JPEG,golf ball
9,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00013633.JPEG,golf ball
10,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00016748.JPEG,golf ball
11,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00017247.JPEG,golf ball
12,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00019268.JPEG,golf ball
13,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023215.JPEG,golf ball
14,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023845.JPEG,golf ball
15,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00024405.JPEG,golf ball
16,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00026194.JPEG,golf ball
17,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00030938.JPEG,golf ball
18,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031486.JPEG,golf ball
19,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031744.JPEG,golf ball
20,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031897.JPEG,golf ball
21,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031954.JPEG,golf ball
22,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035419.JPEG,golf ball
23,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035519.JPEG,golf ball
24,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035918.JPEG,golf ball
25,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036187.JPEG,golf ball
26,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036755.JPEG,golf ball
27,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00037369.JPEG,golf ball
28,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038005.JPEG,golf ball
29,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038447.JPEG,golf ball
30,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038768.JPEG,golf ball
31,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00040694.JPEG,golf ball
32,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00043745.JPEG,golf ball
33,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044695.JPEG,golf ball
34,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044936.JPEG,golf ball
35,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00046468.JPEG,golf ball
36,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00048517.JPEG,golf ball
37,c:\Users\A-L-F\Documents\UVG\mlops\data-version-control\data\raw\train\n03445777\n03445777_10008.JPEG,golf ball
